gene,group,n,median_age_at_diagnosis_years,female,male,white,black_or_african_american,asian,alive,dead,median_survival_time_days_observed,stage_i_or_ii,stage_iii_or_iv,progression_or_recurrence_reported_yes,disease_response_values
ALK,mutated,50,69.0,20,30,35,3,0,26,24,731.0,49,10,16,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
ALK,not_mutated,882,67.89500000000001,351,531,628,76,17,538,344,669.0,871,173,257,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
BRAF,mutated,51,66.71000000000001,19,32,33,7,0,35,16,611.0,50,8,20,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
BRAF,not_mutated,881,68.18,352,529,630,72,17,529,352,683.5,870,175,253,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
CDKN2A,mutated,94,67.11500000000001,23,71,68,7,3,50,44,671.0,94,16,22,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
CDKN2A,not_mutated,838,68.06,348,490,595,72,14,514,324,674.0,826,167,251,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
CUL3,mutated,28,65.545,10,18,22,2,0,15,13,865.5,28,4,7,TF-Tumor Free; WT-With Tumor; WT-With Tumor; TF-Tumor Free
CUL3,not_mutated,904,68.22,361,543,641,77,17,549,355,670.0,892,179,266,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
DDR2,mutated,35,65.425,8,27,29,1,0,23,12,666.0,35,6,10,TF-Tumor Free; WT-With Tumor
DDR2,not_mutated,897,68.16,363,534,634,78,17,541,356,677.0,885,177,263,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
EGFR,mutated,79,65.41,47,32,54,7,6,48,31,610.0,77,19,27,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
EGFR,not_mutated,853,68.245,324,529,609,72,11,516,337,683.0,843,164,246,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
ERBB2,mutated,23,68.64500000000001,12,11,16,1,1,14,9,761.0,23,3,8,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
ERBB2,not_mutated,909,67.99,359,550,647,78,16,550,359,671.0,897,180,265,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
FAT1,mutated,116,67.73,45,71,84,16,0,68,48,626.0,114,19,31,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
FAT1,not_mutated,816,68.015,326,490,579,63,17,496,320,677.0,806,164,242,TF-Tumor Free; TF-Tumor Free; WT-With Tumor; WT-With Tumor; WT-With Tumor; TF-Tumor Free
FGFR1,mutated,16,63.47,8,8,11,2,0,11,5,937.0,16,7,4,TF-Tumor Free; WT-With Tumor
