gene,mutated_cases,analyzable_cases,overall_pct,luad_mutated,luad_total,luad_pct,lusc_mutated,lusc_total,lusc_pct
TP53,626,932,67.16738197424893,236,467,50.53533190578158,390,465,83.87096774193549
KMT2D,146,932,15.665236051502147,41,467,8.779443254817988,105,465,22.580645161290324
KRAS,140,932,15.021459227467812,132,467,28.265524625267666,8,465,1.7204301075268817
KEAP1,136,932,14.592274678111588,83,467,17.77301927194861,53,465,11.397849462365592
FAT1,116,932,12.446351931330472,50,467,10.70663811563169,66,465,14.193548387096774
NF1,110,932,11.802575107296137,54,467,11.563169164882227,56,465,12.043010752688172
KMT2C,102,932,10.944206008583691,45,467,9.635974304068522,57,465,12.258064516129032
CDKN2A,94,932,10.085836909871245,25,467,5.353319057815845,69,465,14.838709677419354
PIK3CA,82,932,8.798283261802576,26,467,5.56745182012848,56,465,12.043010752688172
NTRK3,80,932,8.583690987124463,47,467,10.06423982869379,33,465,7.096774193548387
EGFR,79,932,8.476394849785407,64,467,13.704496788008566,15,465,3.225806451612903
NFE2L2,75,932,8.047210300429185,10,467,2.1413276231263385,65,465,13.978494623655914
STK11,69,932,7.4034334763948495,66,467,14.132762312633833,3,465,0.6451612903225806
ROS1,63,932,6.759656652360515,20,467,4.282655246252677,43,465,9.24731182795699
NOTCH1,59,932,6.330472103004292,22,467,4.710920770877944,37,465,7.956989247311828
PTEN,59,932,6.330472103004292,6,467,1.284796573875803,53,465,11.397849462365592
SMARCA4,57,932,6.115879828326181,38,467,8.137044967880085,19,465,4.086021505376344
BRAF,51,932,5.472103004291846,38,467,8.137044967880085,13,465,2.795698924731183
ALK,50,932,5.364806866952789,30,467,6.423982869379015,20,465,4.301075268817204
NOTCH2,43,932,4.613733905579399,21,467,4.496788008565311,22,465,4.731182795698925
RET,42,932,4.506437768240343,18,467,3.854389721627409,24,465,5.161290322580645
DDR2,35,932,3.755364806866953,18,467,3.854389721627409,17,465,3.6559139784946235
NTRK1,34,932,3.648068669527897,16,467,3.4261241970021414,18,465,3.870967741935484
NTRK2,34,932,3.648068669527897,22,467,4.710920770877944,12,465,2.5806451612903225
CUL3,28,932,3.004291845493562,6,467,1.284796573875803,22,465,4.731182795698925
MET,27,932,2.8969957081545066,18,467,3.854389721627409,9,465,1.935483870967742
TP63,26,932,2.7896995708154506,11,467,2.355460385438972,15,465,3.225806451612903
ERBB2,23,932,2.467811158798283,16,467,3.4261241970021414,7,465,1.5053763440860215
FGFR1,16,932,1.7167381974248928,11,467,2.355460385438972,5,465,1.075268817204301
SOX2,5,932,0.5364806866952789,1,467,0.21413276231263384,4,465,0.8602150537634409
