gene,mutated_n,not_mutated_n,mutated_events,not_mutated_events,mutated_km_median_survival_days,not_mutated_km_median_survival_days,logrank_chi_square,logrank_p_value
NOTCH2,42,870,5,353,,1470.0,12.782801818091395,0.0003498205872304259
CDKN2A,93,819,44,314,1143.0,1632.0,4.360769947480363,0.03677568021251764
TP53,615,297,255,103,1423.0,1632.0,3.6048851548509693,0.05761004774725335
NOTCH1,58,854,26,332,933.0,1622.0,2.1649263597668256,0.14119138666352296
NTRK2,33,879,9,349,2617.0,1528.0,2.1032872690733107,0.1469828381847078
PIK3CA,81,831,39,319,1426.0,1622.0,1.832683066592649,0.17581096351108902
STK11,67,845,31,327,1107.0,1632.0,1.8122359804048367,0.17824023563034738
EGFR,77,835,30,328,1265.0,1640.0,1.0371475196414948,0.3084858125774327
NTRK1,33,879,11,347,4601.0,1528.0,0.6947195311369635,0.4045637172936344
MET,25,887,8,350,1426.0,1531.0,0.4625838660441124,0.49641886940017055
FAT1,115,797,47,311,1344.0,1622.0,0.3309189208642186,0.5651184945295351
ALK,47,865,22,336,1045.0,1622.0,0.2383389452096018,0.6254083983892109
BRAF,48,864,15,343,1622.0,1516.0,0.23025370232153147,0.6313357758361501
DDR2,35,877,12,346,1632.0,1528.0,0.21964632461337133,0.6393095334797299
KMT2D,143,769,60,298,1426.0,1531.0,0.1567419893401732,0.6921739753664318
FGFR1,15,897,5,353,1189.0,1531.0,0.12208298601953456,0.7267862125165114
NFE2L2,75,837,30,328,1679.0,1516.0,0.06903007914980154,0.7927542529329513
NF1,108,804,47,311,1600.0,1528.0,0.06892450183388901,0.7929091878921742
ERBB2,23,889,9,349,1026.0,1531.0,0.06376067226820857,0.8006478464037013
SMARCA4,56,856,21,337,1454.0,1600.0,0.06080843366182049,0.8052227108435512
ROS1,61,851,26,332,1933.0,1531.0,0.06064055102983707,0.8054863730248796
NTRK3,78,834,33,325,1975.0,1516.0,0.054473429356305704,0.8154543571866492
RET,42,870,16,342,1640.0,1531.0,0.03832137688626666,0.844799220598892
KMT2C,97,815,39,319,1632.0,1528.0,0.032917713881817565,0.8560281934300594
KEAP1,132,780,57,301,1470.0,1600.0,0.018832408230754983,0.8908480329527089
PTEN,57,855,25,333,1315.0,1622.0,0.012083846427064747,0.9124676261680276
CUL3,28,884,13,345,1423.0,1531.0,0.011619652490880072,0.9141587122331558
KRAS,137,775,49,309,1725.0,1516.0,0.008228698011029295,0.9277212992564955
TP63,25,887,11,347,1798.0,1531.0,0.0006838947778171964,0.979136594189101
