project_id,case_submitter_id,case_id,sample_submitter_ids,sample_types,aliquot_submitter_ids,file_id,file_name,gene,gene_id,gene_type,unstranded_count,stranded_first_count,stranded_second_count,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,ALK,ENSG00000171094.18,protein_coding,14,6,8,0.1930,0.0755,0.0725
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,BRAF,ENSG00000157764.14,protein_coding,1554,890,993,6.7475,2.6408,2.5364
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,CDKN2A,ENSG00000147889.18,protein_coding,304,147,179,7.9616,3.1160,2.9928
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,CUL3,ENSG00000036257.13,protein_coding,2054,1379,1267,18.1649,7.1094,6.8283
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,DDR2,ENSG00000162733.19,protein_coding,847,436,411,7.7646,3.0389,2.9187
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,EGFR,ENSG00000146648.19,protein_coding,17386,8745,9095,141.3478,55.3206,53.1332
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,ERBB2,ENSG00000141736.14,protein_coding,14356,7514,7647,141.5246,55.3898,53.1997
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,FAT1,ENSG00000083857.14,protein_coding,582,297,285,3.6628,1.4335,1.3769
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,FGFR1,ENSG00000077782.21,protein_coding,803,448,404,5.5796,2.1838,2.0974
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,KEAP1,ENSG00000079999.14,protein_coding,1449,722,727,41.2625,16.1493,15.5107
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,KMT2C,ENSG00000055609.19,protein_coding,3686,1897,1793,18.6475,7.2982,7.0097
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,KMT2D,ENSG00000167548.16,protein_coding,4532,2308,2347,21.4453,8.3932,8.0614
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,KRAS,ENSG00000133703.13,protein_coding,1433,879,814,21.3007,8.3366,8.0070
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,MET,ENSG00000105976.16,protein_coding,31752,15853,15899,447.2122,175.0296,168.1089
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,NF1,ENSG00000196712.18,protein_coding,2759,1394,1481,10.3472,4.0497,3.8895
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,NFE2L2,ENSG00000116044.16,protein_coding,3414,1725,1795,61.2525,23.9730,23.0251
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,NOTCH1,ENSG00000148400.12,protein_coding,2426,1172,1255,23.2012,9.0805,8.7214
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,NOTCH2,ENSG00000134250.20,protein_coding,9106,4620,4487,46.4880,18.1944,17.4750
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,NTRK1,ENSG00000198400.12,protein_coding,17,8,9,0.3323,0.1301,0.1249
TCGA-LUAD,TCGA-05-4410,d28e465c-e553-4c53-8bb7-3d8199b9a8a5,TCGA-05-4410-01A,Primary Tumor,TCGA-05-4410-01A-21R-1858-07,38259364-ebcb-4f5f-8471-8ffe7e3267a7,d3c861af-cfe9-4d9f-bc76-a8a45b72df43.rna_seq.augmented_star_gene_counts.tsv,NTRK2,ENSG00000148053.17,protein_coding,174,90,84,0.8701,0.3405,0.3271
