gene,mean_readout,nonzero_fraction
ABCC11,0.0028661794494837523,1.0
ACE2,0.0427534282207489,1.0
ACKR1,0.06086476892232895,1.0
ACTA2,0.3375626504421234,1.0
ACTG2,0.530739426612854,1.0
ADAM28,0.15192893147468567,1.0
ADAMTS1,0.45056775212287903,1.0
ADGRE1,0.02959345281124115,1.0
ADGRL4,0.15316256880760193,1.0
ADH1C,0.0827421247959137,1.0
ADH4,0.07655846327543259,1.0
ADIPOQ,0.01574736461043358,1.0
AGER,0.027651650831103325,1.0
AGR3,0.042941443622112274,1.0
AHSP,0.012891313061118126,1.0
AIF1,0.3569158911705017,1.0
ALAS2,0.01239052601158619,1.0
ALDH1A3,0.0803697481751442,1.0
AMY2A,0.16121722757816315,1.0
ANGPT2,0.04638011008501053,1.0
ANPEP,0.19048240780830383,1.0
APCDD1,0.10028012096881866,1.0
APOA5,0.03280762583017349,1.0
APOBEC3A,0.07663865387439728,1.0
APOLD1,0.20404258370399475,1.0
AQP2,0.010287853889167309,1.0
AQP3,0.11317157000303268,1.0
AQP8,0.061981942504644394,1.0
AQP9,0.08412286639213562,1.0
AR,0.02661934494972229,1.0
ARFGEF3,0.03708088397979736,1.0
ASCL1,0.007905334234237671,1.0
ASCL3,0.022386949509382248,1.0
ASPN,0.10427853465080261,1.0
BAMBI,0.06745321303606033,1.0
BANK1,0.21969005465507507,1.0
BASP1,0.44251641631126404,1.0
BBOX1,0.02589327283203602,1.0
BCL2L11,0.18687376379966736,1.0
BMX,0.03262913227081299,1.0
BTNL9,0.08881743252277374,1.0
C15orf48,0.10893210768699646,1.0
C1orf162,0.26391908526420593,1.0
C1orf194,0.015611672773957253,1.0
C20orf85,0.002896371530368924,1.0
C5orf46,0.031221002340316772,1.0
C6orf118,0.0125605259090662,1.0
C7,0.13817070424556732,1.0
CA4,0.015015246346592903,1.0
CAPN8,0.09403936564922333,1.0
CAV1,0.26763418316841125,1.0
CAVIN1,0.592848002910614,1.0
CAVIN2,0.17344431579113007,1.0
CCDC39,0.01772269979119301,1.0
CCDC78,0.00800300668925047,1.0
CCL19,0.10683225095272064,1.0
CCL27,0.01227190624922514,1.0
CCL5,0.23497796058654785,1.0
CCNB2,0.07131395488977432,1.0
CCR2,0.05577772483229637,1.0
CCR7,0.13680878281593323,1.0
CD14,0.2597303092479706,1.0
CD163,0.16044488549232483,1.0
CD19,0.10564710944890976,1.0
CD1A,0.02217240445315838,1.0
CD1C,0.06093756854534149,1.0
CD1E,0.030999736860394478,1.0
CD2,0.24105219542980194,1.0
CD247,0.14185193181037903,1.0
CD27,0.10475791990756989,1.0
CD274,0.05248946696519852,1.0
CD28,0.15424132347106934,1.0
CD300E,0.04487676918506622,1.0
CD34,0.24926315248012543,1.0
CD3D,0.2052271068096161,1.0
CD3E,0.2765333354473114,1.0
CD4,0.2686815857887268,1.0
CD5L,0.0359630212187767,1.0
CD68,0.1847926825284958,1.0
CD69,0.1308051347732544,1.0
CD70,0.01582796685397625,1.0
CD79A,0.2538275718688965,1.0
CD83,0.15750181674957275,1.0
CD86,0.10936038196086884,1.0
CD8A,0.1542270928621292,1.0
CD93,0.3287997245788574,1.0
CDH16,0.02608298696577549,1.0
CDK1,0.11842887848615646,1.0
CENPF,0.0912652537226677,1.0
CFAP53,0.021837329491972923,1.0
CFB,0.3649373948574066,1.0
CFHR1,0.1022007167339325,1.0
CFHR3,0.1284424513578415,1.0
CFTR,0.07693442702293396,1.0
CHGA,0.025585869327187538,1.0
CLCA1,0.0313490629196167,1.0
CLCA2,0.19892124831676483,1.0
CLEC10A,0.08280091732740402,1.0
CLEC14A,0.16050732135772705,1.0
CLEC4E,0.07670250535011292,1.0
CLECL1,0.06452528387308121,1.0
CLIC6,0.07892335206270218,1.0
CNN1,0.1675201654434204,1.0
COCH,0.05250610038638115,1.0
COL17A1,0.23064978420734406,1.0
COL5A2,0.24492448568344116,1.0
