gene,mean_readout,nonzero_fraction
ABCC11,0.004059885628521442,1.0
ACE2,0.035499799996614456,1.0
ACKR1,0.04043850675225258,1.0
ACTA2,0.2798383831977844,1.0
ACTG2,0.48739442229270935,1.0
ADAM28,0.14648231863975525,1.0
ADAMTS1,0.1950949728488922,1.0
ADGRE1,0.023439664393663406,1.0
ADGRL4,0.09594963490962982,1.0
ADH1C,0.08649887889623642,1.0
ADH4,0.0776391327381134,1.0
ADIPOQ,0.03050585463643074,1.0
AGER,0.017936157062649727,1.0
AGR3,0.028912782669067383,1.0
AHSP,0.015001976862549782,1.0
AIF1,0.24957676231861115,1.0
ALAS2,0.01402284950017929,1.0
ALDH1A3,0.07401566952466965,1.0
AMY2A,0.16251344978809357,1.0
ANGPT2,0.03819149360060692,1.0
ANPEP,0.15631964802742004,1.0
APCDD1,0.108075812458992,1.0
APOA5,0.035384878516197205,1.0
APOBEC3A,0.0735541433095932,1.0
APOLD1,0.11354619264602661,1.0
AQP2,0.01004079356789589,1.0
AQP3,0.1102459579706192,1.0
AQP8,0.06178121641278267,1.0
AQP9,0.059844933450222015,1.0
AR,0.03270764276385307,1.0
ARFGEF3,0.05074619501829147,1.0
ASCL1,0.00651447381824255,1.0
ASCL3,0.027703335508704185,1.0
ASPN,0.1724218875169754,1.0
BAMBI,0.08162464201450348,1.0
BANK1,0.21130676567554474,1.0
BASP1,0.4317042827606201,1.0
BBOX1,0.028238270431756973,1.0
BCL2L11,0.18794472515583038,1.0
BMX,0.022167572751641273,1.0
BTNL9,0.04610661789774895,1.0
C15orf48,0.09485392272472382,1.0
C1orf162,0.17973798513412476,1.0
C1orf194,0.01744845137000084,1.0
C20orf85,0.004568521399050951,1.0
C5orf46,0.03969518840312958,1.0
C6orf118,0.014192663133144379,1.0
C7,0.10332176834344864,1.0
CA4,0.014802766032516956,1.0
CAPN8,0.08314444124698639,1.0
CAV1,0.19998714327812195,1.0
CAVIN1,0.4569244384765625,1.0
CAVIN2,0.07075778394937515,1.0
CCDC39,0.018543867394328117,1.0
CCDC78,0.010533193126320839,1.0
CCL19,0.10307002067565918,1.0
CCL27,0.014183394610881805,1.0
CCL5,0.18822982907295227,1.0
CCNB2,0.11918707191944122,1.0
CCR2,0.048058755695819855,1.0
CCR7,0.12705335021018982,1.0
CD14,0.17517267167568207,1.0
CD163,0.11242213100194931,1.0
CD19,0.10784101486206055,1.0
CD1A,0.020983580499887466,1.0
CD1C,0.057398565113544464,1.0
CD1E,0.032448239624500275,1.0
CD2,0.2027437686920166,1.0
CD247,0.11448587477207184,1.0
CD27,0.10091201215982437,1.0
CD274,0.04830295592546463,1.0
CD28,0.1353445053100586,1.0
CD300E,0.02865128591656685,1.0
CD34,0.16085310280323029,1.0
CD3D,0.17585542798042297,1.0
CD3E,0.2359897643327713,1.0
CD4,0.1910940706729889,1.0
CD5L,0.037795837968587875,1.0
CD68,0.13179875910282135,1.0
CD69,0.08987336605787277,1.0
CD70,0.015892384573817253,1.0
CD79A,0.25718721747398376,1.0
CD83,0.14276370406150818,1.0
CD86,0.08945178985595703,1.0
CD8A,0.1176731213927269,1.0
CD93,0.18277066946029663,1.0
CDH16,0.026119142770767212,1.0
CDK1,0.1778942346572876,1.0
CENPF,0.14034724235534668,1.0
CFAP53,0.025449052453041077,1.0
CFB,0.3607030510902405,1.0
CFHR1,0.0958794504404068,1.0
CFHR3,0.1183224469423294,1.0
CFTR,0.08944998681545258,1.0
CHGA,0.024421026930212975,1.0
CLCA1,0.03485864773392677,1.0
CLCA2,0.24462631344795227,1.0
CLEC10A,0.06167636066675186,1.0
CLEC14A,0.08387334644794464,1.0
CLEC4E,0.045257318764925,1.0
CLECL1,0.0627763643860817,1.0
CLIC6,0.08182744681835175,1.0
CNN1,0.14800593256950378,1.0
COCH,0.051811717450618744,1.0
COL17A1,0.2536896765232086,1.0
COL5A2,0.29980024695396423,1.0
CPA3,0.031721554696559906,1.0
CRHBP,0.010502451099455357,1.0
CRISPLD2,0.1465025544166565,1.0
CSF2RA,0.07379478961229324,1.0
CSF3,0.020138947293162346,1.0
CTLA4,0.10208640247583389,1.0
CTSG,0.009764662012457848,1.0
CTSK,0.2521079182624817,1.0
CXCL10,0.1721496880054474,1.0
CXCL2,0.14930196106433868,1.0
CXCL6,0.09409959614276886,1.0
CXCL9,0.18180671334266663,1.0
CXCR4,0.3371356129646301,1.0
CYP1A1,0.0240377988666296,1.0
CYP2A7,0.05694081261754036,1.0
CYP2B6,0.06190476566553116,1.0
CYP2F1,0.025662556290626526,1.0
CYP3A4,0.0664624348282814,1.0
CYP4B1,0.06198256090283394,1.0
CYTIP,0.26980602741241455,1.0
DERL3,0.033396754413843155,1.0
DES,0.27520260214805603,1.0
DIRAS3,0.02087707817554474,1.0
DMBT1,0.030637478455901146,1.0
DNAAF1,0.01856457069516182,1.0
DNASE1L3,0.063456691801548,1.0
DPEP1,0.021331757307052612,1.0
DPT,0.1229357123374939,1.0
DST,0.41001003980636597,1.0
DUSP2,0.06040077656507492,1.0
ECSCR,0.078665591776371,1.0
EDN1,0.0784928947687149,1.0
EDNRB,0.07204268872737885,1.0
EGFL7,0.07262873649597168,1.0
EGFR,0.12759117782115936,1.0
EHF,0.23552826046943665,1.0
ELF5,0.05034374073147774,1.0
EPCAM,0.27518412470817566,1.0
ERBB2,0.10174782574176788,1.0
ERG,0.0650850161910057,1.0
ESR1,0.03225307911634445,1.0
FAS,0.1386040896177292,1.0
FBLN1,0.3073277175426483,1.0
FBN1,0.36401933431625366,1.0
FCER1A,0.03398443013429642,1.0
FCGR1A,0.11183546483516693,1.0
FCGR3A,0.15035764873027802,1.0
FCN1,0.035359807312488556,1.0
FCN2,0.024497447535395622,1.0
FGFBP1,0.09872301667928696,1.0
FGFBP2,0.028845984488725662,1.0
FGL2,0.22998932003974915,1.0
FHL2,0.26610395312309265,1.0
FKBP11,0.18322508037090302,1.0
FOXA1,0.02165205031633377,1.0
FOXI1,0.02036384679377079,1.0
FOXJ1,0.015189975500106812,1.0
FOXP3,0.05767807364463806,1.0
FSTL3,0.10759653896093369,1.0
FXYD2,0.056946974247694016,1.0
GATA2,0.034138523042201996,1.0
GATM,0.22675709426403046,1.0
GCG,0.014710791409015656,1.0
GDF15,0.06734305620193481,1.0
GEM,0.12665511667728424,1.0
GHRL,0.03687151521444321,1.0
GKN2,0.07038287818431854,1.0
GLIPR1,0.20733723044395447,1.0
GLYATL1,0.048141270875930786,1.0
GNG11,0.11277713626623154,1.0
GNLY,0.050212688744068146,1.0
GPC1,0.1472037136554718,1.0
GPC3,0.10863877832889557,1.0
GPR183,0.13534046709537506,1.0
GPRC5A,0.1494327187538147,1.0
GPX2,0.09810827672481537,1.0
GYPA,0.032661281526088715,1.0
GYPB,0.0072085196152329445,1.0
GZMA,0.07901017367839813,1.0
GZMB,0.0409543476998806,1.0
GZMK,0.08601443469524384,1.0
HAMP,0.05388451740145683,1.0
HAVCR2,0.09955089539289474,1.0
HEMGN,0.017541948705911636,1.0
HEPACAM2,0.02860036864876747,1.0
HES4,0.020444931462407112,1.0
HIGD1B,0.01853916421532631,1.0
HLA-DQB2,0.09342803061008453,1.0
HMGCS2,0.11098120361566544,1.0
HPGDS,0.01682375743985176,1.0
HPX,0.07761411368846893,1.0
IGF1,0.16716989874839783,1.0
IGSF6,0.09679127484560013,1.0
IL1R2,0.09165522456169128,1.0
IL1RL1,0.02517418935894966,1.0
IL2RA,0.08773878961801529,1.0
IL3RA,0.061304789036512375,1.0
IL7R,0.27683374285697937,1.0
INMT,0.08469511568546295,1.0
INS,0.0087887616828084,1.0
IRF8,0.17667034268379211,1.0
KCNK3,0.0195054579526186,1.0
KCNMA1,0.1318410187959671,1.0
KIT,0.0491655096411705,1.0
KLK11,0.05976521223783493,1.0
KLRB1,0.1379164606332779,1.0
KLRC1,0.03984551876783371,1.0
KLRD1,0.036947257816791534,1.0
KNG1,0.06877312809228897,1.0
KRT20,0.030873632058501244,1.0
KRT7,0.15855364501476288,1.0
LAG3,0.048030026257038116,1.0
LAMP3,0.08490756899118423,1.0
LGI4,0.024519648402929306,1.0
LGR5,0.01768770068883896,1.0
LIF,0.0796288326382637,1.0
LILRA4,0.038336530327796936,1.0
LILRA5,0.013702300377190113,1.0
LILRB2,0.09348796308040619,1.0
LILRB4,0.027688225731253624,1.0
LPL,0.03264430910348892,1.0
LTBP2,0.1608690321445465,1.0
LY6D,0.04456178843975067,1.0
LY86,0.07836219668388367,1.0
LYVE1,0.10444606840610504,1.0
MALL,0.22082392871379852,1.0
MAMDC2,0.06455054879188538,1.0
MARCO,0.032182950526475906,1.0
MCEMP1,0.023862220346927643,1.0
MCF2L,0.08383595198392868,1.0
MDM2,0.48749589920043945,1.0
MEDAG,0.09626571089029312,1.0
MEF2C,0.141347736120224,1.0
MEST,0.140896275639534,1.0
MET,0.28180354833602905,1.0
MFAP5,0.07751264423131943,1.0
MKI67,0.2562626600265503,1.0
MLANA,0.006253289524465799,1.0
MLPH,0.07533444464206696,1.0
MMRN1,0.07857389748096466,1.0
MMRN2,0.11896374076604843,1.0
MNDA,0.09724903851747513,1.0
MPEG1,0.23587708175182343,1.0
MRC1,0.0870128870010376,1.0
MS4A1,0.361145555973053,1.0
MS4A2,0.03449588268995285,1.0
MS4A4A,0.11483164876699448,1.0
MS4A6A,0.2522280812263489,1.0
MTRNR2L11,0.18613040447235107,1.0
MYBPC1,0.00886649638414383,1.0
MYC,0.2900678515434265,1.0
MYH11,0.2351519763469696,1.0
MYLK,0.3706211447715759,1.0
