gene,mutated_cases,analyzable_cases,overall_pct,luad_mutated,luad_total,luad_pct,lusc_mutated,lusc_total,lusc_pct
TP53,16,20,80.0,8,10,80.0,8,10,80.0
KRAS,3,20,15.0,3,10,30.0,0,10,0.0
KEAP1,5,20,25.0,3,10,30.0,2,10,20.0
STK11,2,20,10.0,2,10,20.0,0,10,0.0
EGFR,4,20,20.0,2,10,20.0,2,10,20.0
NFE2L2,1,20,5.0,0,10,0.0,1,10,10.0
PIK3CA,4,20,20.0,1,10,10.0,3,10,30.0
CDKN2A,7,20,35.0,2,10,20.0,5,10,50.0
FAT1,4,20,20.0,1,10,10.0,3,10,30.0
KMT2D,5,20,25.0,1,10,10.0,4,10,40.0
KMT2C,7,20,35.0,4,10,40.0,3,10,30.0
NF1,5,20,25.0,2,10,20.0,3,10,30.0
BRAF,3,20,15.0,2,10,20.0,1,10,10.0
SMARCA4,2,20,10.0,1,10,10.0,1,10,10.0
NOTCH1,2,20,10.0,0,10,0.0,2,10,20.0
NOTCH2,2,20,10.0,1,10,10.0,1,10,10.0
ERBB2,1,20,5.0,1,10,10.0,0,10,0.0
ALK,5,20,25.0,3,10,30.0,2,10,20.0
ROS1,6,20,30.0,4,10,40.0,2,10,20.0
RET,1,20,5.0,0,10,0.0,1,10,10.0
NTRK1,5,20,25.0,4,10,40.0,1,10,10.0
NTRK2,1,20,5.0,0,10,0.0,1,10,10.0
NTRK3,2,20,10.0,1,10,10.0,1,10,10.0
SOX2,2,20,10.0,0,10,0.0,2,10,20.0
TP63,2,20,10.0,1,10,10.0,1,10,10.0
FGFR1,1,20,5.0,1,10,10.0,0,10,0.0
DDR2,1,20,5.0,0,10,0.0,1,10,10.0
CUL3,2,20,10.0,0,10,0.0,2,10,20.0
