gene,mean_readout,nonzero_fraction
ABCC11,0.004866672679781914,1.0
ACE2,0.03772449493408203,1.0
ACKR1,0.03447998687624931,1.0
ACTA2,0.25300079584121704,1.0
ACTG2,0.5877277851104736,1.0
ADAM28,0.15880420804023743,1.0
ADAMTS1,0.19195720553398132,1.0
ADGRE1,0.030344108119606972,1.0
ADGRL4,0.09621966630220413,1.0
ADH1C,0.0836525484919548,1.0
ADH4,0.07698272168636322,1.0
ADIPOQ,0.017775211483240128,1.0
AGER,0.012570643797516823,1.0
AGR3,0.037417709827423096,1.0
AHSP,0.014492450281977654,1.0
AIF1,0.2709684371948242,1.0
ALAS2,0.0117101538926363,1.0
ALDH1A3,0.09430739283561707,1.0
AMY2A,0.1520283967256546,1.0
ANGPT2,0.04322104901075363,1.0
ANPEP,0.18455520272254944,1.0
APCDD1,0.09475074708461761,1.0
APOA5,0.032087065279483795,1.0
APOBEC3A,0.12111455202102661,1.0
APOLD1,0.09800978004932404,1.0
AQP2,0.011934483423829079,1.0
AQP3,0.14319398999214172,1.0
AQP8,0.06459377706050873,1.0
AQP9,0.07504761219024658,1.0
AR,0.03198130428791046,1.0
ARFGEF3,0.06648871302604675,1.0
ASCL1,0.0051836250349879265,1.0
ASCL3,0.019514231011271477,1.0
ASPN,0.11555256694555283,1.0
BAMBI,0.08254565298557281,1.0
BANK1,0.21572217345237732,1.0
BASP1,0.5419663786888123,1.0
BBOX1,0.02872600592672825,1.0
BCL2L11,0.20982642471790314,1.0
BMX,0.018838051706552505,1.0
BTNL9,0.039717771112918854,1.0
C15orf48,0.21253244578838348,1.0
C1orf162,0.19955790042877197,1.0
C1orf194,0.019477099180221558,1.0
C20orf85,0.005168908275663853,1.0
C5orf46,0.039669524878263474,1.0
C6orf118,0.011905326507985592,1.0
C7,0.06030270457267761,1.0
CA4,0.013942159712314606,1.0
CAPN8,0.09837677329778671,1.0
CAV1,0.26188355684280396,1.0
CAVIN1,0.4882492125034332,1.0
CAVIN2,0.061672110110521317,1.0
CCDC39,0.015092112123966217,1.0
CCDC78,0.0102914460003376,1.0
CCL19,0.09743636101484299,1.0
CCL27,0.012694967910647392,1.0
CCL5,0.2259170562028885,1.0
CCNB2,0.20133347809314728,1.0
CCR2,0.04760260134935379,1.0
CCR7,0.12444046884775162,1.0
CD14,0.18560078740119934,1.0
CD163,0.11157755553722382,1.0
CD19,0.11108620464801788,1.0
CD1A,0.019632216542959213,1.0
CD1C,0.05230265110731125,1.0
CD1E,0.032048773020505905,1.0
CD2,0.2253497838973999,1.0
CD247,0.12665382027626038,1.0
CD27,0.1039724349975586,1.0
CD274,0.11201679706573486,1.0
CD28,0.13007067143917084,1.0
CD300E,0.03476625680923462,1.0
CD34,0.13428379595279694,1.0
CD3D,0.187281996011734,1.0
CD3E,0.2550322115421295,1.0
CD4,0.2129073590040207,1.0
CD5L,0.033030927181243896,1.0
CD68,0.1449383944272995,1.0
CD69,0.09607435017824173,1.0
CD70,0.01635674573481083,1.0
CD79A,0.25232169032096863,1.0
CD83,0.14217029511928558,1.0
CD86,0.09353197365999222,1.0
CD8A,0.1406165361404419,1.0
CD93,0.1705782264471054,1.0
CDH16,0.025745714083313942,1.0
CDK1,0.28090643882751465,1.0
CENPF,0.24239055812358856,1.0
CFAP53,0.025383561849594116,1.0
CFB,0.4931492805480957,1.0
CFHR1,0.09404832124710083,1.0
CFHR3,0.11830876767635345,1.0
CFTR,0.09015755355358124,1.0
CHGA,0.024910174310207367,1.0
CLCA1,0.03211349993944168,1.0
CLCA2,0.35387831926345825,1.0
CLEC10A,0.06401404738426208,1.0
CLEC14A,0.07248429208993912,1.0
CLEC4E,0.06431605666875839,1.0
CLECL1,0.058828942477703094,1.0
CLIC6,0.07601515203714371,1.0
CNN1,0.13390234112739563,1.0
COCH,0.10693086683750153,1.0
COL17A1,0.3292290270328522,1.0
COL5A2,0.28499045968055725,1.0
CPA3,0.02915431559085846,1.0
CRHBP,0.011974163353443146,1.0
CRISPLD2,0.1316104233264923,1.0
CSF2RA,0.0831916555762291,1.0
CSF3,0.023503903299570084,1.0
CTLA4,0.11476922035217285,1.0
CTSG,0.008167212828993797,1.0
CTSK,0.19444282352924347,1.0
CXCL10,0.24224337935447693,1.0
CXCL2,0.18627914786338806,1.0
CXCL6,0.11049631983041763,1.0
CXCL9,0.21015211939811707,1.0
CXCR4,0.3719711899757385,1.0
CYP1A1,0.024273773655295372,1.0
CYP2A7,0.0535409040749073,1.0
CYP2B6,0.059090305119752884,1.0
CYP2F1,0.022911714389920235,1.0
CYP3A4,0.06306515634059906,1.0
CYP4B1,0.06404171139001846,1.0
CYTIP,0.2969241738319397,1.0
DERL3,0.03684874251484871,1.0
DES,0.17596474289894104,1.0
DIRAS3,0.02060411497950554,1.0
DMBT1,0.050044409930706024,1.0
DNAAF1,0.017410429194569588,1.0
DNASE1L3,0.06400568783283234,1.0
DPEP1,0.022731399163603783,1.0
DPT,0.08511553704738617,1.0
DST,0.4541722238063812,1.0
DUSP2,0.08336061984300613,1.0
ECSCR,0.07354708015918732,1.0
EDN1,0.11130547523498535,1.0
EDNRB,0.07230482250452042,1.0
EGFL7,0.06122439354658127,1.0
EGFR,0.1541641801595688,1.0
EHF,0.41577261686325073,1.0
ELF5,0.0465872697532177,1.0
EPCAM,0.5105204582214355,1.0
ERBB2,0.14251674711704254,1.0
ERG,0.057524096220731735,1.0
ESR1,0.034035515040159225,1.0
FAS,0.18988922238349915,1.0
FBLN1,0.22185225784778595,1.0
FBN1,0.25915125012397766,1.0
FCER1A,0.035908881574869156,1.0
FCGR1A,0.11891870200634003,1.0
FCGR3A,0.17673979699611664,1.0
FCN1,0.030685272067785263,1.0
FCN2,0.020916881039738655,1.0
FGFBP1,0.1126968264579773,1.0
FGFBP2,0.021814782172441483,1.0
FGL2,0.2520201802253723,1.0
FHL2,0.3895455002784729,1.0
FKBP11,0.2186557799577713,1.0
FOXA1,0.028635943308472633,1.0
FOXI1,0.014735976234078407,1.0
FOXJ1,0.018366048112511635,1.0
