gene,mean_readout,nonzero_fraction
ABCC11,0.003563114209100604,1.0
ACE2,0.037758126854896545,1.0
ACKR1,0.03467933088541031,1.0
ACTA2,0.3914295732975006,1.0
ACTG2,0.7171640992164612,1.0
ADAM28,0.1527821272611618,1.0
ADAMTS1,0.18224956095218658,1.0
ADGRE1,0.028414499014616013,1.0
ADGRL4,0.10845658928155899,1.0
ADH1C,0.08254390209913254,1.0
ADH4,0.07413949817419052,1.0
ADIPOQ,0.015243826434016228,1.0
AGER,0.015555603429675102,1.0
AGR3,0.028963517397642136,1.0
AHSP,0.015919765457510948,1.0
AIF1,0.3215485215187073,1.0
ALAS2,0.011960675939917564,1.0
ALDH1A3,0.08138040453195572,1.0
AMY2A,0.15752150118350983,1.0
ANGPT2,0.05680469423532486,1.0
ANPEP,0.19267284870147705,1.0
APCDD1,0.14119671285152435,1.0
APOA5,0.03440401703119278,1.0
APOBEC3A,0.08474239706993103,1.0
APOLD1,0.11211136728525162,1.0
AQP2,0.009059498086571693,1.0
AQP3,0.13896770775318146,1.0
AQP8,0.0645371824502945,1.0
AQP9,0.06522352993488312,1.0
AR,0.02707546018064022,1.0
ARFGEF3,0.056566547602415085,1.0
ASCL1,0.00594326201826334,1.0
ASCL3,0.021857811138033867,1.0
ASPN,0.23589876294136047,1.0
BAMBI,0.07444816082715988,1.0
BANK1,0.21346962451934814,1.0
BASP1,0.6920161843299866,1.0
BBOX1,0.03644753247499466,1.0
BCL2L11,0.23856505751609802,1.0
BMX,0.018842915073037148,1.0
BTNL9,0.04419604688882828,1.0
C15orf48,0.12534217536449432,1.0
C1orf162,0.21321947872638702,1.0
C1orf194,0.01580091379582882,1.0
C20orf85,0.0033703651279211044,1.0
C5orf46,0.03561578691005707,1.0
C6orf118,0.014317420311272144,1.0
C7,0.06267613917589188,1.0
CA4,0.012184889987111092,1.0
CAPN8,0.08456018567085266,1.0
CAV1,0.5596104264259338,1.0
CAVIN1,0.692875325679779,1.0
CAVIN2,0.0611155740916729,1.0
CCDC39,0.01783479005098343,1.0
CCDC78,0.013303002342581749,1.0
CCL19,0.1002926379442215,1.0
CCL27,0.015140649862587452,1.0
CCL5,0.22738102078437805,1.0
CCNB2,0.2120632380247116,1.0
CCR2,0.045020051300525665,1.0
CCR7,0.12752823531627655,1.0
CD14,0.2240576297044754,1.0
CD163,0.12324712425470352,1.0
CD19,0.10798762738704681,1.0
CD1A,0.02717314101755619,1.0
CD1C,0.05872058868408203,1.0
CD1E,0.033032745122909546,1.0
CD2,0.23248109221458435,1.0
CD247,0.13217779994010925,1.0
CD27,0.10395587980747223,1.0
CD274,0.09324885159730911,1.0
CD28,0.1368499994277954,1.0
CD300E,0.029248863458633423,1.0
CD34,0.14334280788898468,1.0
CD3D,0.19402074813842773,1.0
CD3E,0.2605547308921814,1.0
CD4,0.2333657443523407,1.0
CD5L,0.03712461143732071,1.0
CD68,0.1507631242275238,1.0
CD69,0.09917747974395752,1.0
CD70,0.01853559911251068,1.0
CD79A,0.24973006546497345,1.0
CD83,0.15648028254508972,1.0
CD86,0.10109720379114151,1.0
CD8A,0.1407281458377838,1.0
CD93,0.19826868176460266,1.0
CDH16,0.02409704029560089,1.0
CDK1,0.3162471652030945,1.0
CENPF,0.2736758887767792,1.0
CFAP53,0.026542026549577713,1.0
CFB,0.4860086441040039,1.0
CFHR1,0.09675449877977371,1.0
CFHR3,0.13053220510482788,1.0
CFTR,0.07979541271924973,1.0
CHGA,0.025948554277420044,1.0
CLCA1,0.033989742398262024,1.0
CLCA2,0.5606234073638916,1.0
CLEC10A,0.05979553982615471,1.0
CLEC14A,0.08014298975467682,1.0
CLEC4E,0.051476914435625076,1.0
CLECL1,0.059398334473371506,1.0
CLIC6,0.07694128155708313,1.0
CNN1,0.15443633496761322,1.0
COCH,0.0969255119562149,1.0
COL17A1,0.43437275290489197,1.0
COL5A2,0.4768291413784027,1.0
CPA3,0.028090273961424828,1.0
CRHBP,0.011507782153785229,1.0
CRISPLD2,0.17648935317993164,1.0
CSF2RA,0.0869569405913353,1.0
CSF3,0.031148284673690796,1.0
CTLA4,0.12944510579109192,1.0
CTSG,0.01073972787708044,1.0
CTSK,0.34326237440109253,1.0
CXCL10,0.35153430700302124,1.0
CXCL2,0.1685396134853363,1.0
CXCL6,0.10391370207071304,1.0
CXCL9,0.3382315933704376,1.0
CXCR4,0.35636720061302185,1.0
CYP1A1,0.02552817203104496,1.0
CYP2A7,0.050611935555934906,1.0
CYP2B6,0.05673044174909592,1.0
CYP2F1,0.023763280361890793,1.0
CYP3A4,0.06473247706890106,1.0
CYP4B1,0.06416885554790497,1.0
CYTIP,0.29792866110801697,1.0
DERL3,0.03382725268602371,1.0
DES,0.1686912477016449,1.0
DIRAS3,0.020106719806790352,1.0
DMBT1,0.025090152397751808,1.0
DNAAF1,0.014749841764569283,1.0
DNASE1L3,0.06638675928115845,1.0
DPEP1,0.0203581303358078,1.0
DPT,0.09632378071546555,1.0
DST,0.594077467918396,1.0
DUSP2,0.08332766592502594,1.0
ECSCR,0.06899593770503998,1.0
EDN1,0.08053221553564072,1.0
EDNRB,0.077153280377388,1.0
EGFL7,0.06608068943023682,1.0
EGFR,0.20686045289039612,1.0
EHF,0.36404338479042053,1.0
ELF5,0.046285439282655716,1.0
EPCAM,0.3656298816204071,1.0
ERBB2,0.1407778561115265,1.0
ERG,0.07053647935390472,1.0
ESR1,0.034373365342617035,1.0
FAS,0.235810786485672,1.0
FBLN1,0.2731340527534485,1.0
FBN1,0.383894681930542,1.0
FCER1A,0.03778350353240967,1.0
FCGR1A,0.11053122580051422,1.0
FCGR3A,0.19587869942188263,1.0
FCN1,0.03396511822938919,1.0
FCN2,0.021712549030780792,1.0
FGFBP1,0.186731219291687,1.0
FGFBP2,0.021213151514530182,1.0
FGL2,0.28078019618988037,1.0
FHL2,0.434570848941803,1.0
FKBP11,0.22692076861858368,1.0
FOXA1,0.02834305167198181,1.0
FOXI1,0.013474853709340096,1.0
FOXJ1,0.014998724684119225,1.0
FOXP3,0.0706935003399849,1.0
FSTL3,0.14078591763973236,1.0
FXYD2,0.05597051978111267,1.0
GATA2,0.04292406141757965,1.0
GATM,0.243076354265213,1.0
GCG,0.01302472222596407,1.0
GDF15,0.07873405516147614,1.0
GEM,0.11419936269521713,1.0
GHRL,0.035090841352939606,1.0
GKN2,0.07042272388935089,1.0
GLIPR1,0.3197856545448303,1.0
GLYATL1,0.047115668654441833,1.0
GNG11,0.1196526437997818,1.0
GNLY,0.06357813626527786,1.0
GPC1,0.23161163926124573,1.0
GPC3,0.07946975529193878,1.0
GPR183,0.15903796255588531,1.0
GPRC5A,0.18776890635490417,1.0
GPX2,0.1315576285123825,1.0
GYPA,0.026523318141698837,1.0
GYPB,0.007957156747579575,1.0
GZMA,0.1035570353269577,1.0
GZMB,0.05155302956700325,1.0
GZMK,0.09249700605869293,1.0
HAMP,0.05191836506128311,1.0
HAVCR2,0.12295951694250107,1.0
HEMGN,0.014492057263851166,1.0
HEPACAM2,0.02563721500337124,1.0
HES4,0.02965305745601654,1.0
HIGD1B,0.013872849754989147,1.0
HLA-DQB2,0.12758587300777435,1.0
HMGCS2,0.1012558788061142,1.0
HPGDS,0.017614023759961128,1.0
HPX,0.07756854593753815,1.0
IGF1,0.11459530889987946,1.0
IGSF6,0.11638112366199493,1.0
IL1R2,0.1007302775979042,1.0
IL1RL1,0.024878639727830887,1.0
IL2RA,0.10656215995550156,1.0
IL3RA,0.06269577145576477,1.0
IL7R,0.3187950849533081,1.0
INMT,0.0647166520357132,1.0
INS,0.00844701286405325,1.0
IRF8,0.1844291388988495,1.0
KCNK3,0.020151963457465172,1.0
KCNMA1,0.13248750567436218,1.0
KIT,0.046918999403715134,1.0
KLK11,0.06631062179803848,1.0
KLRB1,0.14170560240745544,1.0
KLRC1,0.035246215760707855,1.0
KLRD1,0.03933202475309372,1.0
KNG1,0.06632085144519806,1.0
KRT20,0.03651687502861023,1.0
KRT7,0.30518513917922974,1.0
LAG3,0.052799008786678314,1.0
LAMP3,0.11026464402675629,1.0
LGI4,0.021803494542837143,1.0
LGR5,0.016653768718242645,1.0
LIF,0.09565763175487518,1.0
LILRA4,0.03829801827669144,1.0
LILRA5,0.01755340024828911,1.0
LILRB2,0.10580450296401978,1.0
LILRB4,0.038971997797489166,1.0
LPL,0.0177342239767313,1.0
LTBP2,0.25743022561073303,1.0
LY6D,0.09811751544475555,1.0
LY86,0.07991450279951096,1.0
LYVE1,0.07016153633594513,1.0
MALL,0.29538628458976746,1.0
MAMDC2,0.08916886895895004,1.0
MARCO,0.032085224986076355,1.0
MCEMP1,0.02533368207514286,1.0
