gene,mean_readout,nonzero_fraction
ABCC11,0.0027041363064199686,1.0
ACE2,0.03676138445734978,1.0
ACKR1,0.043065331876277924,1.0
ACTA2,0.39814919233322144,1.0
ACTG2,0.6213728785514832,1.0
ADAM28,0.16228307783603668,1.0
ADAMTS1,0.19870717823505402,1.0
ADGRE1,0.025009339675307274,1.0
ADGRL4,0.11769108474254608,1.0
ADH1C,0.08822763711214066,1.0
ADH4,0.07513611763715744,1.0
ADIPOQ,0.017920562997460365,1.0
AGER,0.015436941757798195,1.0
AGR3,0.03291268274188042,1.0
AHSP,0.016553469002246857,1.0
AIF1,0.2934578061103821,1.0
ALAS2,0.01454889215528965,1.0
ALDH1A3,0.0870453268289566,1.0
AMY2A,0.15389958024024963,1.0
ANGPT2,0.0464317724108696,1.0
ANPEP,0.2345421016216278,1.0
APCDD1,0.11698412895202637,1.0
APOA5,0.034159332513809204,1.0
APOBEC3A,0.09080486744642258,1.0
APOLD1,0.11436186730861664,1.0
AQP2,0.00895408634096384,1.0
AQP3,0.12050698697566986,1.0
AQP8,0.06489550322294235,1.0
AQP9,0.07334932684898376,1.0
AR,0.03713717311620712,1.0
ARFGEF3,0.084714375436306,1.0
ASCL1,0.006178857292979956,1.0
ASCL3,0.022410869598388672,1.0
ASPN,0.12334030866622925,1.0
BAMBI,0.10600952804088593,1.0
BANK1,0.22474482655525208,1.0
BASP1,0.4556618630886078,1.0
BBOX1,0.028782427310943604,1.0
BCL2L11,0.2100396603345871,1.0
BMX,0.021611228585243225,1.0
BTNL9,0.040151242166757584,1.0
C15orf48,0.16101707518100739,1.0
C1orf162,0.2160375863313675,1.0
C1orf194,0.015461692586541176,1.0
C20orf85,0.0021627226378768682,1.0
C5orf46,0.0421578474342823,1.0
C6orf118,0.014288674108684063,1.0
C7,0.07364803552627563,1.0
CA4,0.012530769221484661,1.0
CAPN8,0.11401907354593277,1.0
CAV1,0.2530983090400696,1.0
CAVIN1,0.510383665561676,1.0
CAVIN2,0.06069425493478775,1.0
CCDC39,0.017997201532125473,1.0
CCDC78,0.010439237579703331,1.0
CCL19,0.10997661203145981,1.0
CCL27,0.01258532889187336,1.0
CCL5,0.22606535255908966,1.0
CCNB2,0.19447994232177734,1.0
CCR2,0.04776535555720329,1.0
CCR7,0.13178092241287231,1.0
CD14,0.20327195525169373,1.0
CD163,0.12372927367687225,1.0
CD19,0.11093121767044067,1.0
CD1A,0.018596123903989792,1.0
CD1C,0.05942922085523605,1.0
CD1E,0.03162594884634018,1.0
CD2,0.23127639293670654,1.0
CD247,0.12361873686313629,1.0
CD27,0.11078961938619614,1.0
CD274,0.060651034116744995,1.0
CD28,0.14026673138141632,1.0
CD300E,0.03491603955626488,1.0
CD34,0.17026850581169128,1.0
CD3D,0.20335952937602997,1.0
CD3E,0.26083865761756897,1.0
CD4,0.22373788058757782,1.0
CD5L,0.03341531753540039,1.0
CD68,0.16059987246990204,1.0
CD69,0.09548717737197876,1.0
CD70,0.016437791287899017,1.0
CD79A,0.26355570554733276,1.0
CD83,0.14360836148262024,1.0
CD86,0.10061440616846085,1.0
CD8A,0.1487092524766922,1.0
CD93,0.2037951946258545,1.0
CDH16,0.02579791285097599,1.0
CDK1,0.28288087248802185,1.0
CENPF,0.25092756748199463,1.0
CFAP53,0.0236516073346138,1.0
CFB,0.8104503750801086,1.0
CFHR1,0.09635016322135925,1.0
CFHR3,0.14835479855537415,1.0
CFTR,0.09443432837724686,1.0
CHGA,0.028329109773039818,1.0
CLCA1,0.03523591533303261,1.0
CLCA2,0.23469266295433044,1.0
CLEC10A,0.06595271825790405,1.0
CLEC14A,0.09467680007219315,1.0
CLEC4E,0.05974644422531128,1.0
CLECL1,0.06323881447315216,1.0
CLIC6,0.08615527302026749,1.0
CNN1,0.1649101972579956,1.0
COCH,0.12264607846736908,1.0
COL17A1,0.23751351237297058,1.0
COL5A2,0.3689052164554596,1.0
CPA3,0.036098092794418335,1.0
CRHBP,0.011885513551533222,1.0
CRISPLD2,0.14142073690891266,1.0
CSF2RA,0.08745300769805908,1.0
CSF3,0.021635722368955612,1.0
CTLA4,0.11327777802944183,1.0
CTSG,0.009747087955474854,1.0
CTSK,0.24362754821777344,1.0
CXCL10,0.259472519159317,1.0
CXCL2,0.19389933347702026,1.0
CXCL6,0.15039962530136108,1.0
CXCL9,0.2301025390625,1.0
