case_submitter_id,project_id,rank,gene,mutation_count
TCGA-05-4410,TCGA-LUAD,1,TTN,3
TCGA-05-4410,TCGA-LUAD,2,FAT2,2
TCGA-05-4410,TCGA-LUAD,3,MAML1,2
TCGA-05-4410,TCGA-LUAD,4,EYS,2
TCGA-05-4410,TCGA-LUAD,5,DDC,2
TCGA-05-4410,TCGA-LUAD,6,ATAD3A,1
TCGA-05-4410,TCGA-LUAD,7,EPHB2,1
TCGA-05-4410,TCGA-LUAD,8,TRIM63,1
TCGA-05-4410,TCGA-LUAD,9,CSMD2,1
TCGA-05-4410,TCGA-LUAD,10,MFSD2A,1
TCGA-05-4410,TCGA-LUAD,11,LRRC7,1
TCGA-05-4410,TCGA-LUAD,12,ERICH3,1
TCGA-05-4410,TCGA-LUAD,13,EPHX4,1
TCGA-05-4410,TCGA-LUAD,14,CHIA,1
TCGA-05-4410,TCGA-LUAD,15,CASQ1,1
TCGA-05-4410,TCGA-LUAD,16,TOMM40L,1
TCGA-05-4410,TCGA-LUAD,17,CFAP126,1
TCGA-05-4410,TCGA-LUAD,18,TNR,1
TCGA-05-4410,TCGA-LUAD,19,USH2A,1
TCGA-05-4410,TCGA-LUAD,20,TAF1A,1
TCGA-05-4410,TCGA-LUAD,21,RYR2,1
TCGA-05-4410,TCGA-LUAD,22,OR2T34,1
TCGA-05-4410,TCGA-LUAD,23,MYT1L,1
TCGA-05-4410,TCGA-LUAD,24,APOB,1
TCGA-05-4410,TCGA-LUAD,25,SOS1,1
TCGA-05-4410,TCGA-LUAD,26,CLHC1,1
TCGA-05-4410,TCGA-LUAD,27,UGP2,1
TCGA-05-4410,TCGA-LUAD,28,DYSF,1
TCGA-05-4410,TCGA-LUAD,29,SMYD1,1
TCGA-05-4410,TCGA-LUAD,30,CNTNAP5,1
TCGA-05-4410,TCGA-LUAD,31,UGGT1,1
TCGA-05-4410,TCGA-LUAD,32,RAB3GAP1,1
TCGA-05-4410,TCGA-LUAD,33,RBM45,1
TCGA-05-4410,TCGA-LUAD,34,MAP2,1
TCGA-05-4410,TCGA-LUAD,35,KAT2B,1
TCGA-05-4410,TCGA-LUAD,36,CRYBG3,1
TCGA-05-4410,TCGA-LUAD,37,CD47,1
TCGA-05-4410,TCGA-LUAD,38,TRH,1
TCGA-05-4410,TCGA-LUAD,39,ACAD11,1
TCGA-05-4410,TCGA-LUAD,40,TMEM108,1
TCGA-05-4410,TCGA-LUAD,41,EPHB1,1
TCGA-05-4410,TCGA-LUAD,42,MRAS,1
TCGA-05-4410,TCGA-LUAD,43,ARL14,1
TCGA-05-4410,TCGA-LUAD,44,EEF1AKMT4-ECE2,1
TCGA-05-4410,TCGA-LUAD,45,ADIPOQ,1
TCGA-05-4410,TCGA-LUAD,46,NRROS,1
TCGA-05-4410,TCGA-LUAD,47,OTUD4,1
TCGA-05-4410,TCGA-LUAD,48,LRP2BP,1
TCGA-05-4410,TCGA-LUAD,49,SLC6A3,1
TCGA-05-4410,TCGA-LUAD,50,CMBL,1
TCGA-18-3409,TCGA-LUSC,1,TTN,30
TCGA-18-3409,TCGA-LUSC,2,MUC16,19
TCGA-18-3409,TCGA-LUSC,3,PCLO,11
TCGA-18-3409,TCGA-LUSC,4,XIRP2,8
TCGA-18-3409,TCGA-LUSC,5,CUBN,8
TCGA-18-3409,TCGA-LUSC,6,ABCA13,7
TCGA-18-3409,TCGA-LUSC,7,CSMD1,7
TCGA-18-3409,TCGA-LUSC,8,ZFHX4,6
TCGA-18-3409,TCGA-LUSC,9,CSMD3,6
TCGA-18-3409,TCGA-LUSC,10,FAT3,6
TCGA-18-3409,TCGA-LUSC,11,MYH2,6
TCGA-18-3409,TCGA-LUSC,12,PAPPA2,5
TCGA-18-3409,TCGA-LUSC,13,PCDHA3,5
TCGA-18-3409,TCGA-LUSC,14,FAT2,5
TCGA-18-3409,TCGA-LUSC,15,TNXB,5
TCGA-18-3409,TCGA-LUSC,16,RELN,5
TCGA-18-3409,TCGA-LUSC,17,MUC5B,5
TCGA-18-3409,TCGA-LUSC,18,AHNAK2,5
TCGA-18-3409,TCGA-LUSC,19,UNC13C,5
TCGA-18-3409,TCGA-LUSC,20,SPAG17,4
TCGA-18-3409,TCGA-LUSC,21,OBSCN,4
TCGA-18-3409,TCGA-LUSC,22,FMN2,4
TCGA-18-3409,TCGA-LUSC,23,SCN1A,4
TCGA-18-3409,TCGA-LUSC,24,LRP2,4
TCGA-18-3409,TCGA-LUSC,25,COL4A3,4
TCGA-18-3409,TCGA-LUSC,26,SPHKAP,4
TCGA-18-3409,TCGA-LUSC,27,ADAMTS9,4
TCGA-18-3409,TCGA-LUSC,28,ABCC5,4
TCGA-18-3409,TCGA-LUSC,29,DNAH5,4
TCGA-18-3409,TCGA-LUSC,30,MROH2B,4
TCGA-18-3409,TCGA-LUSC,31,CMYA5,4
TCGA-18-3409,TCGA-LUSC,32,FTMT,4
TCGA-18-3409,TCGA-LUSC,33,PCDHA4,4
TCGA-18-3409,TCGA-LUSC,34,PCDHA9,4
TCGA-18-3409,TCGA-LUSC,35,PCDHGB3,4
TCGA-18-3409,TCGA-LUSC,36,FLNC,4
TCGA-18-3409,TCGA-LUSC,37,SSPOP,4
TCGA-18-3409,TCGA-LUSC,38,TEX15,4
TCGA-18-3409,TCGA-LUSC,39,ST18,4
TCGA-18-3409,TCGA-LUSC,40,PKHD1L1,4
TCGA-18-3409,TCGA-LUSC,41,GRID1,4
TCGA-18-3409,TCGA-LUSC,42,XPO4,4
TCGA-18-3409,TCGA-LUSC,43,YLPM1,4
TCGA-18-3409,TCGA-LUSC,44,NPAP1,4
TCGA-18-3409,TCGA-LUSC,45,HERC2,4
TCGA-18-3409,TCGA-LUSC,46,ZNF106,4
TCGA-18-3409,TCGA-LUSC,47,VPS13C,4
TCGA-18-3409,TCGA-LUSC,48,MAN2A2,4
TCGA-18-3409,TCGA-LUSC,49,ADAMTS17,4
TCGA-18-3409,TCGA-LUSC,50,MYH13,4
TCGA-18-5595,TCGA-LUSC,1,TTN,5
TCGA-18-5595,TCGA-LUSC,2,PCDH15,5
TCGA-18-5595,TCGA-LUSC,3,GRIK3,3
TCGA-18-5595,TCGA-LUSC,4,COL11A1,3
TCGA-18-5595,TCGA-LUSC,5,PAPPA2,3
TCGA-18-5595,TCGA-LUSC,6,USH2A,3
TCGA-18-5595,TCGA-LUSC,7,RYR2,3
TCGA-18-5595,TCGA-LUSC,8,FRAS1,3
TCGA-18-5595,TCGA-LUSC,9,HECW1,3
TCGA-18-5595,TCGA-LUSC,10,KMT2C,3
TCGA-18-5595,TCGA-LUSC,11,CSMD3,3
TCGA-18-5595,TCGA-LUSC,12,CUX2,3
TCGA-18-5595,TCGA-LUSC,13,NALCN,3
TCGA-18-5595,TCGA-LUSC,14,ZNF347,3
TCGA-18-5595,TCGA-LUSC,15,IFNLR1,2
TCGA-18-5595,TCGA-LUSC,16,LRRC7,2
TCGA-18-5595,TCGA-LUSC,17,SLC44A5,2
TCGA-18-5595,TCGA-LUSC,18,FLG,2
TCGA-18-5595,TCGA-LUSC,19,NTRK1,2
TCGA-18-5595,TCGA-LUSC,20,FCRL1,2
TCGA-18-5595,TCGA-LUSC,21,OR10K1,2
TCGA-18-5595,TCGA-LUSC,22,ASTN1,2
TCGA-18-5595,TCGA-LUSC,23,CACNA1S,2
TCGA-18-5595,TCGA-LUSC,24,PPFIA4,2
TCGA-18-5595,TCGA-LUSC,25,LYST,2
TCGA-18-5595,TCGA-LUSC,26,OR11L1,2
TCGA-18-5595,TCGA-LUSC,27,OR2T33,2
TCGA-18-5595,TCGA-LUSC,28,SLC8A1,2
TCGA-18-5595,TCGA-LUSC,29,IGKV2-30,2
TCGA-18-5595,TCGA-LUSC,30,IGKV1D-17,2
TCGA-18-5595,TCGA-LUSC,31,LRP1B,2
TCGA-18-5595,TCGA-LUSC,32,MBD5,2
TCGA-18-5595,TCGA-LUSC,33,SCN1A,2
TCGA-18-5595,TCGA-LUSC,34,LRP2,2
TCGA-18-5595,TCGA-LUSC,35,NYAP2,2
TCGA-18-5595,TCGA-LUSC,36,COL6A6,2
TCGA-18-5595,TCGA-LUSC,37,SI,2
TCGA-18-5595,TCGA-LUSC,38,CPN2,2
TCGA-18-5595,TCGA-LUSC,39,XXYLT1,2
TCGA-18-5595,TCGA-LUSC,40,CDKL2,2
TCGA-18-5595,TCGA-LUSC,41,PRDM9,2
TCGA-18-5595,TCGA-LUSC,42,AGXT2,2
TCGA-18-5595,TCGA-LUSC,43,GDNF,2
