case_submitter_id,project_id,chromosome,genome_bin_1mb_start,genome_bin_1mb_end,mutation_count
TCGA-05-4410,TCGA-LUAD,chr1,1000000,1999999,1
TCGA-05-4410,TCGA-LUAD,chr1,22000000,22999999,1
TCGA-05-4410,TCGA-LUAD,chr1,26000000,26999999,1
TCGA-05-4410,TCGA-LUAD,chr1,33000000,33999999,1
TCGA-05-4410,TCGA-LUAD,chr1,39000000,39999999,1
TCGA-05-4410,TCGA-LUAD,chr1,69000000,69999999,1
TCGA-05-4410,TCGA-LUAD,chr1,74000000,74999999,1
TCGA-05-4410,TCGA-LUAD,chr1,92000000,92999999,1
TCGA-05-4410,TCGA-LUAD,chr1,111000000,111999999,1
TCGA-05-4410,TCGA-LUAD,chr1,160000000,160999999,1
TCGA-05-4410,TCGA-LUAD,chr1,161000000,161999999,2
TCGA-05-4410,TCGA-LUAD,chr1,175000000,175999999,1
TCGA-05-4410,TCGA-LUAD,chr1,215000000,215999999,1
TCGA-05-4410,TCGA-LUAD,chr1,222000000,222999999,1
TCGA-05-4410,TCGA-LUAD,chr1,237000000,237999999,1
TCGA-05-4410,TCGA-LUAD,chr1,248000000,248999999,1
TCGA-05-4410,TCGA-LUAD,chr11,2000000,2999999,1
TCGA-05-4410,TCGA-LUAD,chr11,5000000,5999999,1
TCGA-05-4410,TCGA-LUAD,chr11,54000000,54999999,1
TCGA-05-4410,TCGA-LUAD,chr11,57000000,57999999,2
TCGA-05-4410,TCGA-LUAD,chr11,58000000,58999999,1
TCGA-05-4410,TCGA-LUAD,chr11,60000000,60999999,1
TCGA-05-4410,TCGA-LUAD,chr11,72000000,72999999,1
TCGA-05-4410,TCGA-LUAD,chr11,102000000,102999999,1
TCGA-05-4410,TCGA-LUAD,chr11,124000000,124999999,2
TCGA-05-4410,TCGA-LUAD,chr11,125000000,125999999,1
TCGA-05-4410,TCGA-LUAD,chr11,128000000,128999999,1
TCGA-05-4410,TCGA-LUAD,chr12,10000000,10999999,1
TCGA-05-4410,TCGA-LUAD,chr12,15000000,15999999,1
TCGA-05-4410,TCGA-LUAD,chr12,32000000,32999999,1
TCGA-05-4410,TCGA-LUAD,chr12,56000000,56999999,1
TCGA-05-4410,TCGA-LUAD,chr12,70000000,70999999,1
TCGA-05-4410,TCGA-LUAD,chr12,131000000,131999999,2
TCGA-05-4410,TCGA-LUAD,chr13,29000000,29999999,1
TCGA-05-4410,TCGA-LUAD,chr13,51000000,51999999,1
TCGA-05-4410,TCGA-LUAD,chr13,57000000,57999999,1
TCGA-05-4410,TCGA-LUAD,chr13,69000000,69999999,1
TCGA-05-4410,TCGA-LUAD,chr13,109000000,109999999,1
TCGA-05-4410,TCGA-LUAD,chr13,111000000,111999999,1
TCGA-05-4410,TCGA-LUAD,chr14,20000000,20999999,2
TCGA-05-4410,TCGA-LUAD,chr14,24000000,24999999,2
TCGA-05-4410,TCGA-LUAD,chr14,28000000,28999999,1
TCGA-05-4410,TCGA-LUAD,chr14,38000000,38999999,1
TCGA-05-4410,TCGA-LUAD,chr14,50000000,50999999,1
TCGA-05-4410,TCGA-LUAD,chr14,67000000,67999999,2
TCGA-05-4410,TCGA-LUAD,chr14,79000000,79999999,1
TCGA-05-4410,TCGA-LUAD,chr15,23000000,23999999,1
TCGA-05-4410,TCGA-LUAD,chr15,25000000,25999999,1
TCGA-05-4410,TCGA-LUAD,chr15,34000000,34999999,1
TCGA-05-4410,TCGA-LUAD,chr15,63000000,63999999,1
TCGA-05-4410,TCGA-LUAD,chr15,71000000,71999999,1
TCGA-05-4410,TCGA-LUAD,chr16,75000000,75999999,1
TCGA-05-4410,TCGA-LUAD,chr17,7000000,7999999,1
TCGA-05-4410,TCGA-LUAD,chr17,12000000,12999999,1
TCGA-05-4410,TCGA-LUAD,chr17,18000000,18999999,1
TCGA-05-4410,TCGA-LUAD,chr17,36000000,36999999,1
TCGA-05-4410,TCGA-LUAD,chr17,59000000,59999999,1
TCGA-05-4410,TCGA-LUAD,chr17,69000000,69999999,1
TCGA-05-4410,TCGA-LUAD,chr18,5000000,5999999,1
TCGA-05-4410,TCGA-LUAD,chr18,13000000,13999999,1
TCGA-05-4410,TCGA-LUAD,chr18,31000000,31999999,1
TCGA-05-4410,TCGA-LUAD,chr19,4000000,4999999,1
TCGA-05-4410,TCGA-LUAD,chr19,5000000,5999999,1
TCGA-05-4410,TCGA-LUAD,chr19,7000000,7999999,1
TCGA-05-4410,TCGA-LUAD,chr19,41000000,41999999,1
TCGA-05-4410,TCGA-LUAD,chr19,44000000,44999999,1
TCGA-05-4410,TCGA-LUAD,chr19,50000000,50999999,1
TCGA-05-4410,TCGA-LUAD,chr19,51000000,51999999,1
TCGA-05-4410,TCGA-LUAD,chr19,55000000,55999999,1
TCGA-05-4410,TCGA-LUAD,chr19,56000000,56999999,1
TCGA-05-4410,TCGA-LUAD,chr2,1000000,1999999,1
TCGA-05-4410,TCGA-LUAD,chr2,21000000,21999999,1
TCGA-05-4410,TCGA-LUAD,chr2,39000000,39999999,1
TCGA-05-4410,TCGA-LUAD,chr2,55000000,55999999,1
TCGA-05-4410,TCGA-LUAD,chr2,63000000,63999999,1
TCGA-05-4410,TCGA-LUAD,chr2,71000000,71999999,1
TCGA-05-4410,TCGA-LUAD,chr2,88000000,88999999,1
TCGA-05-4410,TCGA-LUAD,chr2,124000000,124999999,1
TCGA-05-4410,TCGA-LUAD,chr2,128000000,128999999,1
TCGA-05-4410,TCGA-LUAD,chr2,135000000,135999999,1
TCGA-05-4410,TCGA-LUAD,chr2,178000000,178999999,4
TCGA-05-4410,TCGA-LUAD,chr2,209000000,209999999,1
TCGA-05-4410,TCGA-LUAD,chr20,49000000,49999999,1
TCGA-05-4410,TCGA-LUAD,chr21,10000000,10999999,1
TCGA-05-4410,TCGA-LUAD,chr21,37000000,37999999,1
TCGA-05-4410,TCGA-LUAD,chr22,41000000,41999999,1
TCGA-05-4410,TCGA-LUAD,chr3,20000000,20999999,1
TCGA-05-4410,TCGA-LUAD,chr3,97000000,97999999,1
TCGA-05-4410,TCGA-LUAD,chr3,108000000,108999999,1
TCGA-05-4410,TCGA-LUAD,chr3,129000000,129999999,1
TCGA-05-4410,TCGA-LUAD,chr3,132000000,132999999,1
TCGA-05-4410,TCGA-LUAD,chr3,133000000,133999999,1
TCGA-05-4410,TCGA-LUAD,chr3,135000000,135999999,1
TCGA-05-4410,TCGA-LUAD,chr3,138000000,138999999,1
TCGA-05-4410,TCGA-LUAD,chr3,160000000,160999999,1
TCGA-05-4410,TCGA-LUAD,chr3,184000000,184999999,1
TCGA-05-4410,TCGA-LUAD,chr3,186000000,186999999,1
TCGA-05-4410,TCGA-LUAD,chr3,196000000,196999999,1
TCGA-05-4410,TCGA-LUAD,chr4,145000000,145999999,1
TCGA-05-4410,TCGA-LUAD,chr4,185000000,185999999,1
TCGA-05-4410,TCGA-LUAD,chr5,1000000,1999999,1
TCGA-05-4410,TCGA-LUAD,chr5,10000000,10999999,1
TCGA-05-4410,TCGA-LUAD,chr5,32000000,32999999,1
TCGA-05-4410,TCGA-LUAD,chr5,37000000,37999999,1
TCGA-05-4410,TCGA-LUAD,chr5,38000000,38999999,1
TCGA-05-4410,TCGA-LUAD,chr5,40000000,40999999,1
